gender,height,hand_size,foot_size
0,165.5,173,235
0,159.6,166,228
1,173.5,184,254
1,172.8,180,256
1,174.8,195,275
1,183.0,186,267
1,167.2,173,243
1,187.6,197,274
1,170.8,172,235
1,166.1,178,238
1,179.3,183,252
1,173.2,176,255
1,168.8,176,240
1,175.1,181,250
1,170.0,177,244
1,172.7,177,252
1,178.2,196,264
1,173.7,188,260
1,168.4,175,239
1,181.2,191,273
1,166.4,172,240
1,167.0,174,242
1,166.7,171,248
1,175.6,191,253
1,169.2,180,245
1,171.9,176,241
1,167.3,171,228
1,171.6,171,235
1,177.3,191,251
1,175.5,196,257
1,177.0,179,250
1,178.1,193,258
1,176.9,185,255
1,177.1,195,263
1,175.4,178,254
1,174.4,183,259
1,172.1,185,246
1,180.9,186,256
1,180.8,199,273
1,175.0,177,247
1,168.8,183,251
1,176.1,176,259
1,177.2,186,263
1,175.8,188,258
1,178.5,176,251
1,174.4,180,253
1,174.1,182,253
1,177.3,189,260
1,174.3,186,242
1,169.6,176,244
1,174.8,186,238
1,183.6,196,270
1,177.8,186,257
1,175.9,187,262
1,181.0,181,261
1,174.6,181,253
1,176.8,180,243
1,175.4,202,271
1,184.0,203,271
1,175.9,184,253
1,183.3,190,263
1,174.4,181,252
1,175.8,181,255
1,177.6,183,260
1,172.4,166,239
1,171.0,183,250
1,161.8,169,235
1,173.6,185,258
1,175.9,184,263
1,182.0,195,254
1,171.8,188,257
1,187.6,195,284
1,170.2,166,244
1,162.7,177,237
1,180.7,180,257
1,169.4,177,253
1,181.5,183,257
1,167.5,172,231
1,172.9,177,261
1,175.9,189,253
1,185.3,185,273
1,175.9,180,250
1,175.3,188,273
1,177.5,189,263
0,160.7,169,232
0,164.0,167,233
0,153.5,156,218
0,155.3,161,213
0,167.0,170,234
0,163.1,169,239
0,164.4,168,235
0,163.9,167,235
0,165.4,173,243
0,162.5,167,236
0,163.3,167,230
0,158.9,163,221
0,164.1,164,226
0,157.4,171,230
0,166.0,175,240
0,154.1,154,218
0,164.6,164,236
0,159.8,170,228
0,154.7,160,215
0,155.8,165,219
0,165.1,178,252
0,169.0,178,239
0,159.4,173,223
0,156.3,170,227
0,165.1,173,237
0,163.0,168,235
0,161.4,171,223
0,160.9,166,232
0,161.4,171,221
0,160.6,166,228
0,153.1,167,225
